complaint_id,timestamp,source,department,category,subcategory,complaint_text,sentiment_score,urgency_level,escalation_flag,resolved,duplicate_group_id,toxicity_score,anonymous,response_delay_hours
CMP-320D4204,2026-02-01 05:39:58,Email,CE,Training,Curriculum,Topics outside the official TOC are being taught.,0.17,4,true,false,TRAINING_TOC_MISMATCH_216,0.03,true,
CMP-3A3505A0,2026-02-01 06:40:16,Anonymous Report,CSE,Training,Curriculum,topics skipped by placement trainer today,0.25,4,true,false,TRAINING_TOC_MISMATCH_216,0.01,true,
CMP-6A1176FC,2026-02-01 07:37:05,Form,ECE,Training,Curriculum,training ka pace bahut fast hai kuch samajh nahi aa raha,0.16,3,false,false,TRAINING_TOC_MISMATCH_216,0.07,false,
CMP-1918E241,2026-02-01 07:51:54,App,ME,Infrastructure,Network,The Wi-Fi in the main library has been down for three days now.,0.23,3,true,true,WIFI_OUTAGE_LIBRARY_81,0.1,false,16
CMP-5813DC7D,2026-02-01 08:12:09,Email,MBA,Placement,Scheduling,HR round postponed without notice,0.34,5,true,true,PLACEMENT_INTERVIEW_CLASH_30,0.2,true,39
CMP-1B591A8E,2026-02-01 10:10:24,WhatsApp,Common,Placement,Scheduling,HR round postponed without notice,0.27,4,true,true,PLACEMENT_INTERVIEW_CLASH_30,0.25,false,44
CMP-09A3F1A6,2026-02-01 11:27:21,WhatsApp,CSE,Academic,Attendance,Faculty attendance policy bahut unfair hai.,0.29,2,false,true,FACULTY_ATTENDANCE_42,0.12,true,21
CMP-4C6F5907,2026-02-01 11:38:49,WhatsApp,ECE,Placement,Scheduling,TCS interview clashes with my final exam.,0.27,4,true,true,PLACEMENT_INTERVIEW_CLASH_30,0.03,false,13
CMP-5179CF66,2026-02-01 13:03:03,Form,Common,Harassment,Bullying,Seniors are ragging in the hostel block.,0.24,5,false,false,HARASSMENT_REPORT_158,0.75,false,
CMP-41309A14,2026-02-01 14:21:10,Anonymous Report,ECE,Infrastructure,Network,library me net nahi chal raha kab thik hoga,0.32,5,false,true,WIFI_OUTAGE_LIBRARY_81,0.14,false,45
CMP-9226D7B5,2026-02-01 15:05:46,WhatsApp,CSE,Training,Curriculum,training ka pace bahut fast hai kuch samajh nahi aa raha,0.25,3,false,false,TRAINING_TOC_MISMATCH_216,0.26,false,
CMP-15BA40B1,2026-02-01 15:37:36,App,CSE,Harassment,Bullying,constant bullying by batchmates,0.25,5,true,true,HARASSMENT_REPORT_227,0.75,true,32
CMP-40DF249C,2026-02-01 16:37:37,WhatsApp,CSE,Infrastructure,Network,The Wi-Fi in the main library has been down for three days now.,0.19,4,true,false,WIFI_OUTAGE_LIBRARY_81,0.2,false,
CMP-8B3D21B6,2026-02-01 16:47:09,WhatsApp,CSE,Harassment,Bullying,Anonymous harassment on college group,0.15,5,true,true,HARASSMENT_REPORT_158,0.81,false,42
CMP-8221E34B,2026-02-01 17:08:02,Form,CE,Infrastructure,Network,The Wi-Fi in the main library has been down for three days now.,0.4,5,false,true,WIFI_OUTAGE_LIBRARY_85,0.29,true,1
CMP-96EA06E3,2026-02-01 17:22:05,Email,Common,Training,Curriculum,Topics outside the official TOC are being taught.,0.29,3,false,true,TRAINING_TOC_MISMATCH_216,0.18,false,1
CMP-C8EBF36F,2026-02-01 17:37:17,WhatsApp,CSE,Harassment,Bullying,constant bullying by batchmates,0.14,5,true,false,HARASSMENT_REPORT_158,0.77,true,
CMP-F31D8C80,2026-02-01 17:56:22,Form,ME,Harassment,Bullying,Anonymous harassment on college group,0.39,5,true,true,HARASSMENT_REPORT_227,0.77,false,8
CMP-05A5532F,2026-02-01 17:57:30,WhatsApp,MBA,Infrastructure,Network,No internet connection in the library again.,0.32,5,false,false,WIFI_OUTAGE_LIBRARY_81,0.2,false,
CMP-B7CC923D,2026-02-01 18:31:49,App,ME,Infrastructure,Network,library network outage since morning,0.1,4,true,true,WIFI_OUTAGE_LIBRARY_85,0.1,false,38
CMP-AAF0A0DE,2026-02-01 18:40:58,App,CSE,Harassment,Bullying,Facing toxic behavior from a faculty member.,0.12,5,true,true,HARASSMENT_REPORT_227,0.71,false,27
CMP-D617BE75,2026-02-01 18:46:39,WhatsApp,CE,Harassment,Bullying,constant bullying by batchmates,0.39,5,true,false,HARASSMENT_REPORT_227,0.82,false,
CMP-463C4202,2026-02-01 18:48:32,WhatsApp,CSE,Placement,Scheduling,Please reschedule the Infosys pre-placement talk.,0.26,5,true,true,PLACEMENT_INTERVIEW_CLASH_30,0.27,false,46
CMP-29744E33,2026-02-01 19:00:38,WhatsApp,Common,Placement,Scheduling,placement cell is not responding to mails,0.18,4,false,false,PLACEMENT_INTERVIEW_CLASH_30,0.11,true,
CMP-D9EDCBCC,2026-02-01 19:14:12,Form,CSE,Training,Curriculum,Trainer is rushing through JDBC concepts.,0.19,2,true,true,TRAINING_TOC_MISMATCH_216,0.15,false,17
CMP-4F61058A,2026-02-01 20:03:28,Email,CSE,Harassment,Bullying,Please take action against ragging in boys hostel,0.32,5,true,false,HARASSMENT_REPORT_158,0.81,true,
CMP-1F3C0072,2026-02-01 20:05:25,Email,EEE,Harassment,Bullying,Seniors are ragging in the hostel block.,0.16,5,true,true,HARASSMENT_REPORT_158,0.89,false,35
CMP-FC8E3E07,2026-02-01 21:05:48,App,Common,Training,Curriculum,training ka pace bahut fast hai kuch samajh nahi aa raha,0.23,3,false,false,TRAINING_TOC_MISMATCH_216,0.11,false,
CMP-7B7379E0,2026-02-01 21:23:26,Form,ME,Training,Curriculum,sockeet progrmming was introduced unexpectedly.,0.3,3,true,true,TRAINING_TOC_MISMATCH_216,0.04,false,16
CMP-99CBD274,2026-02-01 21:53:14,WhatsApp,ME,Infrastructure,Network,Unable to access internet in library,0.11,4,true,true,WIFI_OUTAGE_LIBRARY_85,0.0,false,9
CMP-3F384F65,2026-02-01 22:14:50,Form,CE,Academic,Attendance,My attendance was marked absent even though I was present.,0.38,2,false,true,FACULTY_ATTENDANCE_42,0.12,true,6
CMP-2468421A,2026-02-01 22:18:53,App,CSE,Harassment,Bullying,Anonymous harassment on college group,0.26,5,true,false,HARASSMENT_REPORT_227,0.86,true,
CMP-484BF05D,2026-02-01 22:38:31,Form,CSE,Academic,Attendance,Faculty attendance policy bahut unfair hai.,0.4,3,true,true,FACULTY_ATTENDANCE_42,0.27,false,27
CMP-69329F5F,2026-02-01 23:16:58,Email,CSE,Training,Curriculum,Trainer is rushing through JDBC concepts.,0.21,3,false,true,TRAINING_TOC_MISMATCH_216,0.07,false,33
CMP-FE1FDCE9,2026-02-01 23:39:51,WhatsApp,ECE,Infrastructure,Network,The Wi-Fi in the main library has been down for three days now.,0.33,5,true,true,WIFI_OUTAGE_LIBRARY_85,0.12,false,43
CMP-D0FAD48C,2026-02-01 23:44:18,Anonymous Report,ECE,Infrastructure,Network,librry mee net nahi chal raha kab thik hoga,0.3,5,false,true,WIFI_OUTAGE_LIBRARY_81,0.01,false,29
CMP-80905833,2026-02-01 23:47:24,Anonymous Report,CSE,Placement,Scheduling,Please reschedule the Infosys pre-placement talk.,0.16,4,false,true,PLACEMENT_INTERVIEW_CLASH_30,0.03,false,47
CMP-FF4BF821,2026-02-02 00:11:24,Form,CE,Placement,Scheduling,Interview slots are overlapping for multiple companies.,0.38,4,false,true,PLACEMENT_INTERVIEW_CLASH_45,0.05,false,42
CMP-8E5B53C7,2026-02-02 00:43:19,WhatsApp,ECE,Harassment,Bullying,Seniors are ragging in the hostel block.,0.18,5,true,true,HARASSMENT_REPORT_227,0.6,true,11
CMP-E91F6C16,2026-02-02 00:56:30,Form,Common,Infrastructure,Network,library network outage since morning,0.1,3,false,true,WIFI_OUTAGE_LIBRARY_85,0.14,false,16
CMP-66555534,2026-02-02 01:26:57,WhatsApp,CSE,Harassment,Bullying,Seniors are ragging in the hostel block.,0.25,5,true,false,HARASSMENT_REPORT_113,0.72,false,
CMP-94B9D82F,2026-02-02 01:33:29,Anonymous Report,CSE,Training,Curriculum,Topics outside the official TOC are being taught.,0.19,3,false,true,TRAINING_TOC_MISMATCH_216,0.23,false,16
CMP-56309D93,2026-02-02 01:38:30,Email,CE,Placement,Scheduling,Interview slots are overlapping for multiple companies.,0.14,5,true,true,PLACEMENT_INTERVIEW_CLASH_45,0.26,false,12
CMP-DC6C49F8,2026-02-02 01:53:14,WhatsApp,Common,Placement,Scheduling,placement drive and mid sem on same day??,0.31,4,true,false,PLACEMENT_INTERVIEW_CLASH_45,0.17,false,
CMP-424ACBBA,2026-02-02 01:56:47,App,ME,Harassment,Bullying,constnt bullying by batchmatees,0.25,5,true,true,HARASSMENT_REPORT_227,0.79,false,30
CMP-9DC0CAF5,2026-02-02 01:58:13,WhatsApp,CSE,Harassment,Bullying,Facing toxic behavior from a faculty member.,0.38,5,true,true,HARASSMENT_REPORT_113,0.79,false,16
CMP-F2DA6BAC,2026-02-02 02:17:35,App,CSE,Placement,Scheduling,placement drive and mid sem on same day??,0.17,4,true,true,PLACEMENT_INTERVIEW_CLASH_45,0.24,false,1
CMP-CA020C1C,2026-02-02 02:19:32,Email,Common,Harassment,Bullying,Facing toxic behavior from a faculty member.,0.32,5,true,false,HARASSMENT_REPORT_113,0.67,true,
CMP-E61AE4B3,2026-02-02 02:22:51,WhatsApp,Common,Training,Curriculum,Socket programming was introduced unexpectedly.,0.28,4,false,true,TRAINING_TOC_MISMATCH_216,0.0,false,29
CMP-CF2E38D4,2026-02-02 02:30:48,WhatsApp,ME,Harassment,Bullying,constant bullying by batchmates,0.19,5,true,true,HARASSMENT_REPORT_113,0.75,false,2
CMP-A56EA08C,2026-02-02 02:41:12,App,ECE,Infrastructure,Network,No internet connection in the library again.,0.32,3,false,false,WIFI_OUTAGE_LIBRARY_81,0.07,false,
CMP-6CCFDBC7,2026-02-02 02:50:35,App,ME,Infrastructure,Network,library me net nahi chal raha kab thik hoga,0.39,4,false,false,WIFI_OUTAGE_LIBRARY_81,0.19,true,
CMP-6F556022,2026-02-02 03:07:43,Form,Common,Harassment,Bullying,Facing toxic behavior from a faculty member.,0.38,5,true,true,HARASSMENT_REPORT_227,0.78,true,33
CMP-4EC6CD5B,2026-02-02 03:10:27,Email,Common,Placement,Scheduling,placement cell is not responding to mails,0.36,5,true,false,PLACEMENT_INTERVIEW_CLASH_45,0.29,false,
CMP-9A6FB84B,2026-02-02 04:11:28,Email,CSE,Harassment,Bullying,constant bullying by batchmates,0.13,5,true,true,HARASSMENT_REPORT_227,0.65,false,40
CMP-B6BED3C7,2026-02-02 04:22:17,Email,CE,Harassment,Bullying,constant bullying by batchmates,0.19,5,true,true,HARASSMENT_REPORT_227,0.74,false,18
CMP-2184A24C,2026-02-02 04:28:03,Form,ECE,Hostel,Water,plumber not fixing the leaking tap in room 204,0.16,3,true,false,HOSTEL_WATER_ISSUE_215,0.02,false,
CMP-B7A42596,2026-02-02 04:30:11,App,ECE,Hostel,Food Hygiene,Food quality in the mess has degraded significantly.,0.38,4,true,false,MESS_FOOD_POISONING_16,0.16,false,
CMP-7D52B5DD,2026-02-02 05:30:13,App,ECE,Infrastructure,Network,wifi firse gaya 😭 library me,0.12,5,false,true,WIFI_OUTAGE_LIBRARY_85,0.09,false,2
CMP-5D21507B,2026-02-02 06:25:05,WhatsApp,CSE,Hostel,Water,paani nahi aa raha subah se,0.37,4,false,true,HOSTEL_WATER_ISSUE_215,0.26,true,6
CMP-D4056844,2026-02-02 06:37:22,Email,Common,Placement,Scheduling,placement drive and mid sem on same day??,0.15,4,false,true,PLACEMENT_INTERVIEW_CLASH_45,0.28,false,28
CMP-C2F06020,2026-02-02 06:37:46,WhatsApp,ECE,Placement,Scheduling,plceement drive and mid sem on same day??,0.26,4,true,false,PLACEMENT_INTERVIEW_CLASH_45,0.01,false,
CMP-4650364F,2026-02-02 06:54:51,Email,ECE,Placement,Scheduling,Interview slots are overlapping for multiple companies.,0.29,4,true,true,PLACEMENT_INTERVIEW_CLASH_45,0.29,false,10
CMP-C37EB785,2026-02-02 07:02:53,Email,CSE,Hostel,Food Hygiene,I got food poisoning after eating dinner yesterday.,0.22,4,true,false,MESS_FOOD_POISONING_16,0.24,false,
CMP-BE3AC46F,2026-02-02 07:14:32,WhatsApp,MBA,Hostel,Food Hygiene,Found a bug in my salad at the main cafeteria.,0.17,5,true,true,MESS_FOOD_POISONING_16,0.2,false,30
CMP-49BE8CD2,2026-02-02 07:38:38,Email,CSE,Placement,Scheduling,placement cell is not responding to mails,0.19,5,true,true,PLACEMENT_INTERVIEW_CLASH_45,0.15,false,45
CMP-BEA77B23,2026-02-02 08:04:11,Form,CSE,Hostel,Food Hygiene,"mess ka khana bahut kharab hai, log beemar pad rahe hain",0.32,4,true,true,MESS_FOOD_POISONING_16,0.29,false,16
CMP-5FB69579,2026-02-02 08:08:28,Anonymous Report,CSE,Training,Curriculum,topics skipped by placement trainer today,0.3,4,true,false,TRAINING_TOC_MISMATCH_216,0.28,false,
CMP-250576E7,2026-02-02 08:26:00,WhatsApp,CSE,Hostel,Food Hygiene,meess food is unhygienic nd causing health issues,0.17,4,true,true,MESS_FOOD_POISONING_242,0.17,false,34
CMP-960BD564,2026-02-02 08:28:19,WhatsApp,CSE,Harassment,Bullying,pleese take action against ragging in boys hostel,0.14,5,true,true,HARASSMENT_REPORT_227,0.72,false,2
CMP-9CC508B3,2026-02-02 08:56:50,Anonymous Report,MBA,Placement,Scheduling,placement cell is not responding to mails,0.21,5,false,false,PLACEMENT_INTERVIEW_CLASH_45,0.14,false,
CMP-35D55498,2026-02-02 09:01:01,WhatsApp,Common,Harassment,Bullying,Please take action against ragging in boys hostel,0.1,5,true,true,HARASSMENT_REPORT_227,0.71,true,6
CMP-F9F103D7,2026-02-02 09:07:53,Email,ME,Harassment,Bullying,constant bullying by batchmates,0.32,5,false,true,HARASSMENT_REPORT_227,0.84,false,47
CMP-47292A23,2026-02-02 09:18:24,WhatsApp,Common,Harassment,Bullying,Please take action against ragging in boys hostel,0.28,5,true,false,HARASSMENT_REPORT_113,0.9,false,
CMP-1F243C57,2026-02-02 09:38:57,Form,CSE,Infrastructure,Network,library me net nahi chal raha kab thik hoga,0.34,4,false,true,WIFI_OUTAGE_LIBRARY_85,0.01,false,1
CMP-9A490B56,2026-02-02 09:46:42,WhatsApp,ME,Hostel,Water,no drinking water on 3rd floor,0.29,4,false,true,HOSTEL_WATER_ISSUE_215,0.15,false,44
CMP-941842D3,2026-02-02 09:49:13,Form,ECE,Harassment,Bullying,anonymous hrassmeent on college group,0.21,5,true,true,HARASSMENT_REPORT_158,0.67,false,17
CMP-359535EB,2026-02-02 09:49:24,Email,CE,Training,Curriculum,The trainer is not following the announced syllabus.,0.31,2,false,true,TRAINING_TOC_MISMATCH_216,0.1,false,27
CMP-B79FE1FA,2026-02-02 10:07:58,WhatsApp,ECE,Harassment,Bullying,Anonymous harassment on college group,0.1,5,true,false,HARASSMENT_REPORT_227,0.63,false,
CMP-FDA505EC,2026-02-02 10:41:49,Form,CE,Hostel,Water,no drinking water on 3rd floor,0.36,3,true,false,HOSTEL_WATER_ISSUE_215,0.03,true,
CMP-3EB545BB,2026-02-02 10:43:24,WhatsApp,ME,Harassment,Bullying,Anonymous harassment on college group,0.16,5,true,false,HARASSMENT_REPORT_113,0.73,false,
CMP-3D23267A,2026-02-02 10:50:35,WhatsApp,CSE,Harassment,Bullying,Please take action against ragging in boys hostel,0.38,5,true,true,HARASSMENT_REPORT_113,0.75,true,30
CMP-607628CC,2026-02-02 11:07:16,App,ME,Infrastructure,Network,wifi firsee gya 😭 library me,0.16,3,true,false,WIFI_OUTAGE_LIBRARY_85,0.13,false,
CMP-9885C312,2026-02-02 11:37:08,WhatsApp,ECE,Training,Curriculum,The Java trainer skipped scheduled topics.,0.14,4,false,true,TRAINING_TOC_MISMATCH_216,0.12,false,25
CMP-8A160633,2026-02-02 11:41:19,WhatsApp,CSE,Infrastructure,Network,The Wi-Fi in the main library has been down for three days now.,0.26,5,true,true,WIFI_OUTAGE_LIBRARY_85,0.1,false,10
CMP-96262412,2026-02-02 11:42:32,App,CSE,Hostel,Water,no drinking water on 3rd floor,0.34,4,false,false,HOSTEL_WATER_ISSUE_215,0.22,false,
CMP-7864BC6A,2026-02-02 12:58:10,Email,CSE,Hostel,Food Hygiene,"mess ka khana bahut kharab hai, log beemar pad rahe hain",0.38,4,false,false,MESS_FOOD_POISONING_242,0.17,false,
CMP-BC61778A,2026-02-02 12:58:59,Email,CSE,Harassment,Bullying,Facing toxic behavior from a faculty member.,0.29,5,true,false,HARASSMENT_REPORT_227,0.8,false,
CMP-380D84AE,2026-02-02 13:01:19,Anonymous Report,Common,Hostel,Food Hygiene,food qulity in thee mess has degraded significantly.,0.31,5,true,false,MESS_FOOD_POISONING_242,0.11,false,
CMP-1B1FD81B,2026-02-02 13:02:05,Anonymous Report,CSE,Hostel,Food Hygiene,mess food is unhygienic and causing health issues,0.3,4,true,true,MESS_FOOD_POISONING_16,0.09,true,46
CMP-8BFDC314,2026-02-02 13:21:16,WhatsApp,ECE,Placement,Scheduling,Interview slots are overlapping for multiple companies.,0.33,4,true,true,PLACEMENT_INTERVIEW_CLASH_45,0.2,false,6
CMP-2E7B8F21,2026-02-02 13:36:32,WhatsApp,CSE,Training,Curriculum,The Java trainer skipped scheduled topics.,0.18,3,false,false,TRAINING_TOC_MISMATCH_216,0.23,true,
CMP-76745A20,2026-02-02 13:49:28,App,CE,Harassment,Bullying,Facing toxic behavior from a faculty member.,0.24,5,true,true,HARASSMENT_REPORT_158,0.71,false,31
CMP-783B689A,2026-02-02 13:50:17,WhatsApp,CSE,Hostel,Water,paani nahi aa raha subah se,0.21,4,true,false,HOSTEL_WATER_ISSUE_215,0.23,false,
CMP-3616838A,2026-02-02 14:43:31,WhatsApp,CSE,Placement,Scheduling,Interview slots are overlapping for multiple companies.,0.31,5,false,true,PLACEMENT_INTERVIEW_CLASH_45,0.21,false,46
CMP-C368B5D4,2026-02-02 14:47:48,WhatsApp,MBA,Infrastructure,Network,No internet connection in the library again.,0.26,3,true,true,WIFI_OUTAGE_LIBRARY_85,0.28,false,2
CMP-2D642D39,2026-02-02 15:30:05,WhatsApp,CSE,Training,Curriculum,The trainer is not following the announced syllabus.,0.39,3,false,false,TRAINING_TOC_MISMATCH_216,0.02,true,
CMP-78A93174,2026-02-02 15:32:47,Form,CE,Infrastructure,Network,library me net nahi chal raha kab thik hoga,0.19,5,false,false,WIFI_OUTAGE_LIBRARY_85,0.26,false,
CMP-C140EBB4,2026-02-02 15:35:50,Form,EEE,Hostel,Water,water cooler in Block C is dispensing dirty water.,0.19,3,false,true,HOSTEL_WATER_ISSUE_215,0.15,true,40
CMP-F244FDB5,2026-02-02 17:25:58,Anonymous Report,CE,Training,Curriculum,training ka pace bahut fast hai kuch samajh nahi aa raha,0.15,3,true,false,TRAINING_TOC_MISMATCH_216,0.29,true,
CMP-C98EDFF4,2026-02-02 17:35:58,WhatsApp,ME,Harassment,Bullying,Anonymous harassment on college group,0.28,5,true,true,HARASSMENT_REPORT_158,0.62,false,10
CMP-99806CA7,2026-02-02 18:26:07,WhatsApp,EEE,Hostel,Food Hygiene,"mess ka khana bahut kharab hai, log beemar pad rahe hain",0.24,5,true,false,MESS_FOOD_POISONING_16,0.24,true,
CMP-0E41FAFD,2026-02-02 19:40:04,WhatsApp,Common,Hostel,Food Hygiene,Food quality in the mess has degraded significantly.,0.36,4,true,false,MESS_FOOD_POISONING_16,0.04,false,
CMP-65CB8BC8,2026-02-02 19:46:07,Form,CSE,Hostel,Food Hygiene,mess food is unhygienic and causing health issues,0.36,4,false,true,MESS_FOOD_POISONING_242,0.07,false,37
CMP-0B10E564,2026-02-02 20:21:46,Email,EEE,Hostel,Water,plumber not fixing the leaking tap in room 204,0.3,3,false,false,HOSTEL_WATER_ISSUE_215,0.24,false,
CMP-E1B06EDE,2026-02-02 20:25:13,Email,CSE,Infrastructure,Network,Unable to access internet in library,0.36,5,false,true,WIFI_OUTAGE_LIBRARY_81,0.23,true,48
CMP-839AC670,2026-02-02 21:22:58,WhatsApp,CSE,Infrastructure,Network,librry wifi is compleetely dead. please fix it asap.,0.23,3,false,false,WIFI_OUTAGE_LIBRARY_81,0.24,false,
CMP-E4B69886,2026-02-02 22:13:15,WhatsApp,CSE,Hostel,Food Hygiene,Mess food quality in hostel B has deteriorated significantly.,0.27,5,true,false,MESS_FOOD_POISONING_242,0.06,false,
CMP-B4C273F6,2026-02-02 22:18:19,WhatsApp,CSE,Infrastructure,Network,Unable to access internet in library,0.2,5,true,false,WIFI_OUTAGE_LIBRARY_85,0.24,false,
CMP-37410083,2026-02-02 22:28:21,Email,CSE,Placement,Scheduling,placement drive and mid sem on same day??,0.36,5,true,false,PLACEMENT_INTERVIEW_CLASH_45,0.16,false,
CMP-2FD46F0E,2026-02-02 22:39:11,Email,CSE,Infrastructure,Network,The Wi-Fi in the main library has been down for three days now.,0.35,3,false,false,WIFI_OUTAGE_LIBRARY_85,0.03,false,
CMP-5EFBA2C5,2026-02-02 23:15:41,Email,CSE,Training,Curriculum,training ka pace bahut fast hai kuch samajh nahi aa raha,0.14,4,true,true,TRAINING_TOC_MISMATCH_216,0.16,false,5
CMP-ABF64B4D,2026-02-02 23:22:33,WhatsApp,CSE,Harassment,Bullying,Anonymous harassment on college group,0.13,5,true,true,HARASSMENT_REPORT_113,0.64,true,45
